# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADAM28	ADAM28	NR_130709.1		0	0	0	13	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NR_130710.2		0	2	0	22	0	0	0	0	0	0	0	0	0	21	0	3	0	0	0	2	0	0	0	0	0	0
ADAM32	ADAM32	NM_001313994.1	protein_coding	1	1	2	55	0	0	0	0	0	0	0	0	0	54	2	0	0	1	0	1	0	0	0	0	1	2
ADAM32	ADAM32	NM_145004.7	protein_coding	1	2	2	55	0	1	1	0	0	0	0	0	0	53	2	0	0	1	0	1	0	0	0	0	1	2
ADAM3A	ADAM3A	NR_001569.3		0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_024106.2		0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_024107.2		0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_073423.1		0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0
ADAM5	ADAM5	NR_001448.1		0	1	0	25	0	0	0	0	0	0	1	0	0	20	0	4	0	0	0	1	0	0	0	0	0	1
ADAM7	ADAM7	NM_003817.4	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ADAM9	ADAM9	NM_003816.3	protein_coding	2	5	10	57	2	0	0	0	0	0	1	0	0	52	10	0	0	0	2	2	0	0	0	0	3	6
ADAM9	ADAM9	NR_027638.1		2	2	0	70	0	0	0	0	0	0	1	0	0	52	0	15	0	0	2	2	0	0	0	0	0	6
ADAM9	ADAM9	NR_027639.1		2	0	0	72	0	0	0	0	0	0	1	0	0	52	0	15	0	0	2	0	0	0	0	0	0	6
ADAM9	ADAM9	NR_027878.1		2	2	0	70	0	0	0	0	0	0	1	0	0	52	0	15	0	0	2	2	0	0	0	0	0	6
ADAMDEC1	ADAMDEC1	NM_001145271.1	protein_coding	0	0	0	4	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	ADAMDEC1	NM_001145272.1	protein_coding	0	0	0	4	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	ADAMDEC1	NM_014479.3	protein_coding	0	1	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ADAMDEC1	ADAMDEC1	NR_156422.1		0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
ADCK5	ADCK5	NM_174922.5	protein_coding	5	3	13	91	3	0	0	0	0	0	58	0	0	37	13	0	0	1	4	3	0	0	0	0	1	0
ADCY8	ADCY8	NM_001115.3	protein_coding	0	4	20	32	1	0	5	0	0	0	0	0	0	27	20	0	0	0	0	1	0	0	0	0	3	0
ADGRA2	ADGRA2	NM_032777.10	protein_coding	2	10	21	70	12	0	0	0	0	0	8	0	0	53	21	0	0	0	2	1	0	0	0	0	9	0
ADGRB1	ADGRB1	NM_001702.3	protein_coding	3	8	22	115	1	0	4	0	0	0	0	0	0	116	22	0	0	0	3	4	0	0	0	0	5	0
ADHFE1	ADHFE1	NM_144650.3	protein_coding	1	0	2	52	3	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	1	0	0	0	13
ADRA1A	ADRA1A	NM_000680.4	protein_coding	0	0	5	9	0	0	6	0	0	0	3	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_001322502.1	protein_coding	0	0	3	12	1	0	6	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_001322503.1	protein_coding	0	0	3	16	2	0	6	0	0	0	2	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_001322504.1	protein_coding	0	0	3	6	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_033302.3	protein_coding	0	0	5	10	1	0	6	0	0	0	0	0	0	3	5	0	0	0	0	1	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_033303.4	protein_coding	0	0	5	14	2	0	6	0	0	0	2	0	0	4	5	0	0	0	0	1	0	0	0	0	0	0
ADRA1A	ADRA1A	NM_033304.3	protein_coding	0	0	5	9	3	0	6	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
ADRA1A	ADRA1A	NR_136343.1		0	0	0	19	0	0	0	0	0	0	2	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0
ADRB3	ADRB3	NM_000025.3	protein_coding	0	1	6	5	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	4
AGO2	AGO2	NM_001164623.3	protein_coding	0	6	6	79	4	0	0	0	0	0	17	0	0	61	6	0	0	0	0	3	0	0	0	0	3	0
AGO2	AGO2	NM_012154.5	protein_coding	0	6	8	77	4	0	0	0	0	0	17	0	0	59	8	0	0	0	0	3	0	0	0	0	3	0
AGPAT5	AGPAT5	NM_018361.5	protein_coding	0	4	5	17	5	0	0	0	0	0	0	0	0	12	5	0	0	0	0	2	0	0	0	0	2	2
ALKAL1	ALKAL1	NM_207413.4	protein_coding	0	4	4	6	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	4	0
ANGPT1	ANGPT1	NM_001146.5	protein_coding	0	4	2	7	1	0	0	0	0	0	0	0	0	8	2	0	0	0	0	2	0	0	0	0	2	0
ANGPT1	ANGPT1	NM_001199859.3	protein_coding	0	4	2	7	1	0	0	0	0	0	0	0	0	8	2	0	0	0	0	2	0	0	0	0	2	0
ANGPT1	ANGPT1	NM_001314051.1	protein_coding	0	3	2	6	1	1	1	0	0	0	0	0	0	5	2	0	0	0	0	1	0	0	0	0	1	0
ANGPT2	ANGPT2	NM_001118887.2	protein_coding	0	4	1	41	13	0	1	0	0	0	1	0	0	26	1	0	0	0	0	0	0	0	0	0	4	0
ANGPT2	ANGPT2	NM_001118888.2	protein_coding	0	2	1	43	13	0	1	0	0	0	1	0	0	28	1	0	0	0	0	0	0	0	0	0	2	0
ANGPT2	ANGPT2	NM_001147.3	protein_coding	0	4	1	41	13	0	1	0	0	0	1	0	0	26	1	0	0	0	0	0	0	0	0	0	4	0
ANK1	ANK1	NM_000037.4	protein_coding	4	10	28	149	19	0	0	0	0	0	1	0	0	134	28	0	0	0	3	4	0	0	1	0	8	0
ANK1	ANK1	NM_001142445.2	protein_coding	0	1	0	43	19	0	1	0	0	0	1	0	0	18	0	0	0	0	0	1	0	0	0	0	0	5
ANK1	ANK1	NM_001142446.2	protein_coding	3	9	26	155	19	0	2	0	0	0	1	0	0	138	26	0	0	0	3	4	0	0	0	0	7	0
ANK1	ANK1	NM_020475.3	protein_coding	3	9	26	153	19	0	0	0	0	0	1	0	0	138	26	0	0	0	3	4	0	0	0	0	7	0
ANK1	ANK1	NM_020476.3	protein_coding	3	9	26	153	19	0	0	0	0	0	1	0	0	138	26	0	0	0	3	4	0	0	0	0	7	0
ANK1	ANK1	NM_020477.3	protein_coding	3	9	25	154	19	0	0	0	0	0	1	0	0	139	25	0	0	0	3	4	0	0	0	0	7	0
ANK1	ANK1	NM_020478.5	protein_coding	1	2	2	39	19	0	1	0	0	0	1	0	0	14	2	0	0	0	0	1	0	0	1	0	1	5
ANK1	ANK1	NM_020480.5	protein_coding	0	0	0	44	19	0	1	0	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	5
ANKRD46	ANKRD46	NM_001270377.2	protein_coding	1	2	0	25	7	0	1	0	0	0	0	0	0	17	0	0	0	0	0	2	0	1	0	0	1	0
ANKRD46	ANKRD46	NM_001270378.2	protein_coding	1	2	0	25	7	0	16	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0
ANKRD46	ANKRD46	NM_001270379.2	protein_coding	1	1	0	25	0	0	1	0	0	0	0	0	0	24	0	0	0	0	0	1	0	1	0	0	1	0
ANKRD46	ANKRD46	NM_198401.4	protein_coding	1	2	0	25	7	0	1	0	0	0	0	0	0	17	0	0	0	0	0	2	0	1	0	0	1	0
ANXA13	ANXA13	NM_001003954.3	protein_coding	0	0	1	16	1	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	2
ANXA13	ANXA13	NM_004306.4	protein_coding	0	0	1	16	1	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	2
AP3M2	AP3M2	NM_001134296.1	protein_coding	0	1	4	27	6	1	1	0	0	0	2	0	0	18	4	0	0	0	0	0	0	0	0	0	0	0
AP3M2	AP3M2	NM_006803.4	protein_coding	0	0	4	27	6	0	0	0	0	0	2	0	0	18	4	0	0	0	0	0	0	0	0	0	0	1
ARC	ARC	NM_015193.5	protein_coding	0	2	24	25	15	0	0	0	0	0	1	0	0	9	24	0	0	0	0	0	0	0	0	0	2	0
ARFGEF1	ARFGEF1	NM_006421.5	protein_coding	0	2	3	60	1	0	13	0	0	0	1	0	0	45	3	0	0	0	0	0	0	0	0	0	2	0
ARHGAP39	ARHGAP39	NM_001308207.1	protein_coding	2	7	30	62	6	0	0	0	0	0	21	0	0	39	30	0	0	0	1	3	0	1	0	0	4	0
ARHGAP39	ARHGAP39	NM_001308208.2	protein_coding	2	7	30	62	6	0	0	0	0	0	21	0	0	39	30	0	0	0	1	3	0	1	0	0	4	0
ARHGAP39	ARHGAP39	NM_025251.2	protein_coding	2	7	30	62	6	0	0	0	0	0	21	0	0	33	30	0	0	0	1	3	0	1	0	0	4	6
ARHGEF10	ARHGEF10	NM_001308152.2	protein_coding	0	6	12	74	4	0	0	0	0	0	0	0	0	70	12	0	0	0	0	0	0	0	0	0	6	0
ARHGEF10	ARHGEF10	NM_001308153.2	protein_coding	0	6	12	74	4	0	0	0	0	0	0	0	0	70	12	0	0	0	0	0	0	0	0	0	6	0
ARHGEF10	ARHGEF10	NM_014629.4	protein_coding	0	6	12	74	4	0	0	0	0	0	0	0	0	70	12	0	0	0	0	0	0	0	0	0	6	0
ARMC1	ARMC1	NM_001286702.1	protein_coding	0	2	0	17	8	0	1	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	1	0
ARMC1	ARMC1	NM_018120.6	protein_coding	0	2	1	16	8	0	1	0	0	0	0	0	0	8	1	0	0	0	0	1	0	0	0	0	1	0
ASAH1	ASAH1	NM_001127505.3	protein_coding	0	1	6	65	4	0	3	0	0	0	0	0	0	59	6	0	0	0	0	2	0	0	0	0	0	0
ASAH1	ASAH1	NM_001363743.2	protein_coding	0	2	5	65	4	0	0	0	0	0	0	0	0	47	5	0	0	0	0	3	0	0	0	0	0	16
ASAH1	ASAH1	NM_004315.6	protein_coding	0	2	6	64	4	0	3	0	0	0	0	0	0	59	6	0	0	0	0	3	0	0	0	0	0	0
ASAH1	ASAH1	NM_177924.5	protein_coding	0	2	5	65	4	0	0	0	0	0	0	0	0	47	5	0	0	0	0	3	0	0	0	0	0	16
ASAP1	ASAP1	NM_001247996.1	protein_coding	1	3	6	85	8	0	0	0	0	0	1	0	0	77	6	0	0	0	1	0	0	0	0	0	3	0
ASAP1	ASAP1	NM_001362924.1	protein_coding	1	3	6	85	8	0	0	0	0	0	1	0	0	77	6	0	0	0	1	0	0	0	0	0	3	0
ASAP1	ASAP1	NM_001362925.2	protein_coding	1	2	6	86	8	0	0	0	0	0	1	0	0	78	6	0	0	0	1	0	0	0	0	0	2	0
ASAP1	ASAP1	NM_001362926.2	protein_coding	1	2	6	86	8	0	0	0	0	0	1	0	0	78	6	0	0	0	1	0	0	0	0	0	2	0
ASAP1	ASAP1	NM_018482.4	protein_coding	1	3	6	85	8	0	0	0	0	0	1	0	0	77	6	0	0	0	1	0	0	0	0	0	3	0
ASAP1-IT1	ASAP1-IT1	NR_002765.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASAP1-IT2	ASAP1-IT2	NR_045385.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASH2L	ASH2L	NM_001105214.2	protein_coding	0	3	2	49	0	1	2	0	0	0	25	0	0	23	2	0	0	0	0	1	0	0	0	0	1	0
ASH2L	ASH2L	NM_001261832.1	protein_coding	0	3	2	49	0	1	2	0	0	0	25	0	0	23	2	0	0	0	0	1	0	0	0	0	1	0
ASH2L	ASH2L	NM_001282272.1	protein_coding	0	2	2	49	0	0	0	0	0	0	25	0	0	25	2	0	0	0	0	1	0	0	0	0	1	0
ASH2L	ASH2L	NM_004674.5	protein_coding	0	2	2	49	0	0	0	0	0	0	25	0	0	25	2	0	0	0	0	1	0	0	0	0	1	0
ASPH	ASPH	NM_001164750.2	protein_coding	0	4	2	52	0	0	2	0	0	0	2	0	0	51	2	0	0	0	0	4	0	0	0	0	0	1
ASPH	ASPH	NM_001164751.2	protein_coding	0	2	2	33	4	0	2	0	0	0	2	0	0	26	2	0	0	0	0	2	0	0	0	0	0	1
ASPH	ASPH	NM_001164752.2	protein_coding	0	2	2	33	4	0	2	0	0	0	2	0	0	26	2	0	0	0	0	2	0	0	0	0	0	1
ASPH	ASPH	NM_001164753.2	protein_coding	0	2	2	33	4	0	2	0	0	0	2	0	0	26	2	0	0	0	0	2	0	0	0	0	0	1
ASPH	ASPH	NM_001164754.1	protein_coding	0	2	2	34	4	0	1	0	0	0	2	0	0	29	2	0	0	0	0	2	0	0	0	0	0	0
ASPH	ASPH	NM_001164755.2	protein_coding	0	2	2	34	4	0	1	0	0	0	2	0	0	29	2	0	0	0	0	2	0	0	0	0	0	0
ASPH	ASPH	NM_001164756.1	protein_coding	0	0	0	7	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASPH	ASPH	NM_004318.4	protein_coding	0	4	2	53	0	0	1	0	0	0	2	0	0	54	2	0	0	0	0	4	0	0	0	0	0	0
ASPH	ASPH	NM_020164.5	protein_coding	0	0	0	9	3	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ASPH	ASPH	NM_032466.4	protein_coding	0	2	2	34	4	0	1	0	0	0	2	0	0	29	2	0	0	0	0	2	0	0	0	0	0	0
ASPH	ASPH	NM_032467.4	protein_coding	0	0	0	9	3	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ASPH	ASPH	NM_032468.5	protein_coding	0	2	2	33	4	0	2	0	0	0	2	0	0	26	2	0	0	0	0	2	0	0	0	0	0	1
ATAD2	ATAD2	NM_014109.4	protein_coding	0	0	0	35	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	2
ATP6V0D2	ATP6V0D2	NM_152565.1	protein_coding	0	1	0	26	3	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1B2	ATP6V1B2	NM_001693.4	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	1	0
ATP6V1C1	ATP6V1C1	NM_001695.5	protein_coding	0	0	1	15	5	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	4
ATP6V1H	ATP6V1H	NM_015941.4	protein_coding	0	2	0	21	1	0	1	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	1
ATP6V1H	ATP6V1H	NM_213619.2	protein_coding	0	2	0	21	1	0	2	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V1H	ATP6V1H	NM_213620.2	protein_coding	0	2	0	21	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	2
AZIN1	AZIN1	NM_001301668.2	protein_coding	0	0	0	15	2	0	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363010.1	protein_coding	0	0	0	15	2	0	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363011.1	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363012.1	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363013.1	protein_coding	0	0	0	15	2	0	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363014.1	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363024.1	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_001363083.1	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_015878.5	protein_coding	0	0	0	15	2	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1	AZIN1	NM_148174.4	protein_coding	0	0	0	15	2	0	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
AZIN1-AS1	AZIN1-AS1	NR_126338.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AZIN1-AS1	AZIN1-AS1	NR_126339.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
BAALC	BAALC	NM_001024372.2	protein_coding	0	0	0	20	2	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
BAALC	BAALC	NM_001364874.1	protein_coding	0	0	0	20	2	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
BAALC	BAALC	NM_024812.3	protein_coding	0	0	0	20	2	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
BAALC-AS2	BAALC-AS2	NR_027071.1		0	0	0	15	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	4
BAG4	BAG4	NM_001204878.2	protein_coding	0	7	6	22	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	7	15
BAG4	BAG4	NM_004874.4	protein_coding	0	7	6	22	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	7	15
BHLHE22	BHLHE22	NM_152414.5	protein_coding	0	2	7	17	2	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	8
BIN3	BIN3	NM_001363046.1	protein_coding	0	1	2	68	6	0	2	0	0	0	22	0	0	36	2	0	0	0	0	0	0	0	0	0	1	2
BIN3	BIN3	NM_018688.6	protein_coding	0	1	2	69	6	0	0	0	0	0	23	0	0	36	2	0	0	0	0	0	0	0	0	0	1	4
BIN3	BIN3	NR_156436.1		0	0	0	71	0	0	0	0	0	0	22	0	0	36	0	11	0	0	0	0	0	0	0	0	0	2
BIN3-IT1	BIN3-IT1	NR_027715.1		0	0	0	26	0	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2
BLK	BLK	NM_001330465.2	protein_coding	2	3	2	63	10	0	5	0	0	0	4	0	0	45	2	0	0	0	2	0	0	0	0	0	3	1
BLK	BLK	NM_001715.3	protein_coding	2	3	5	60	10	0	5	0	0	0	4	0	0	42	5	0	0	0	2	0	0	0	0	0	3	1
BMP1	BMP1	NM_001199.4	protein_coding	4	4	13	92	0	0	0	0	0	0	2	0	0	73	13	0	0	0	3	4	0	0	1	0	2	22
BMP1	BMP1	NM_006129.5	protein_coding	3	4	14	104	4	0	0	0	0	0	0	0	0	83	14	0	0	0	3	4	0	0	0	0	2	22
BMP1	BMP1	NR_033403.2		3	4	0	118	0	0	0	0	0	0	0	0	0	83	0	20	0	0	3	4	0	0	0	0	0	22
BMP1	BMP1	NR_033404.2		3	4	0	106	0	0	0	0	0	0	2	0	0	73	0	16	0	0	3	4	0	0	0	0	0	22
BNIP3L	BNIP3L	NM_001330491.2	protein_coding	0	0	0	8	4	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BNIP3L	BNIP3L	NM_004331.3	protein_coding	0	1	1	19	4	0	3	0	0	0	1	0	0	8	1	0	0	0	0	1	0	0	0	0	0	4
BOP1	BOP1	NM_015201.5	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
BREA2	BREA2	NR_015445.1		0	0	0	32	0	0	0	0	0	0	1	0	0	6	0	10	0	0	0	0	0	0	0	0	0	15
BRF2	BRF2	NM_018310.4	protein_coding	0	0	3	35	5	0	0	0	0	0	23	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0
C8orf31	C8orf31	NR_126398.1		0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
C8orf31	C8orf31	NR_126399.1		0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
C8orf31	C8orf31	NR_149322.1		0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
C8orf33	C8orf33	NM_023080.3	protein_coding	0	1	0	13	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	1
C8orf34	C8orf34	NM_001195639.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_001349476.1	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_001349477.1	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_001349478.1	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_001349479.1	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_001349480.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NM_052958.4	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NR_146186.1		0	0	0	20	0	0	0	0	0	0	0	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0
C8orf34	C8orf34	NR_146187.1		0	0	0	20	0	0	0	0	0	0	0	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0
C8orf37	C8orf37	NM_001363260.1	protein_coding	0	1	3	12	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	1	3
C8orf37	C8orf37	NM_177965.4	protein_coding	0	1	3	12	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	1	3
C8orf37-AS1	C8orf37-AS1	NR_038201.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37-AS1	C8orf37-AS1	NR_038202.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37-AS1	C8orf37-AS1	NR_038203.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37-AS1	C8orf37-AS1	NR_038204.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37-AS1	C8orf37-AS1	NR_038205.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
